str,calibration
fouronevhnrz44,44
eightg1,81
4ninejfpd1jmmnnzjdtk5sjfttvgtdqspvmnhfbm,45
78seven8,78
6pcrrqgbzcspbd,66
7sevenseven,77
1threeeight66,16
one1sevensskhdreight,18
rninethree6,96
eight45fourfgfive1,81
xdlnbfzxgfmhd4t,44
7tf,77
8oneldkrfcssbfeight,88
five5ninebvvfv,59
sixrhxkzcgfhltrchq3three91,61
lnxms8,88
threekv33eightninethree,33
fourxrsxhclj99twosevennine7htxdr,47
5hdhtdxgktztjdjrhkmlblsevenseven1four8,58
25xmvshkbmtkmvqpfhgq8fivefqctjm6two,22
nine533two,92
sixmbkjzpcxvfive2,62
seven3fivevhkpjvfqsfivemfdvlkhhmmvtztjf,75
3eight5threefour,34
fplrjjznseventwocrv9,79
mxqvdb5onesix84fpkzf,54
17five6mvxgkkmz2two2mf,12
lrqnqfncvvvrrpkfour92xsxfztwonehsb,42
dphngmgfhhhcjxmbmqdk3nine54,34
34xdbhnbhbmljxc55oneeight,38
cpgdcctwothreevlqmk1qpdthree,23
977ckpkmx5,95
7cx81,71
vrtgzhhrsevennzgjqhsqdxcjtm2gsj,72
dtkgj89bz5threenine,89
256mctgqnjbpr,26
smmthmrnj6threevrndhnrqq4qpnxz,64
vfrcvbgpdfjbzhchqmtjgxrmddhmggmqrgs7gxfjffivefour,74
twoeight8two3,23
threedpfour5eightthreebc3,33
csdfivefhgkjfcsvsvqsrbtplhjnine7pqhpvhjqone,51
seven3375sevenqgjndftrsh9,79
4six1npbnvfdl27hqvdrxztq,47
twopmmblrnhmq6zp1,21
34jvrtkfdcmnmblg269six5,35
fouroneeight1lpvssjskkjvhpmcb,41
kjb6,66
8rsix4,84
hcprhbhzgjklpql92pntdmxskg,92
3766zthm7lts,37
eight9sixqnkqbfrbrstbxxsixeight,88
sjncbhbcrmnmsmf4sixkhscclmrjfjgqgrdtpjqpgdsg3,43
zrxtgzscx5lgfcsbqkjnst1,51
nineonedzhsqlscgl2xpk,92
9eightljkpkkq,98
blhstnzdfttwocfjhgsix41hrx6,26
5dzsix5,55
vhlkone6five79,19
nkkm65tfnxhtmzrfpfive,65
7hcnzjn4,74
ngckn5ppcsvjsbstwo,52
5qld,55
zbgghnineninezkphpf6,96
8nine4sevenjlhlzlbztxbcrpc,87
3bcdmqxgb,33
8xvhfr3foureightwocj,88
